product, price, location, date
rockwell 10" table saw  strong motor  works great,$150, (El Sereno),Dec  8
Bell'O TV Stand,$89, (417 S Hill St Downtown Los Angeles),Dec  8
Vintage French Cooking Pot COPPER 7-1/2" solid lined and Colander,$120, (Los Feliz Hollywood SilverLake),Dec  8
Looking for a male pitbull to mate with my red nose,$0,NA,Dec  8
2018 Tesla 3 ..  driver side headlamp  head lamp lightXenon,$225, (south gate),Dec  8
Lionel 1302 Switcher Thunder Valley 6-38682 Engine,$99, (Palos Verdes Estates),Dec  8
Real m30 shirts,$20, (Gardena),Dec  8
2004 Chevrolet Silverado 1500 Z71 LT EXT Cab LT 5.3L Vortec Flex Gaoli,$1600,NA,Dec  8
Toyota 2JZ GTE VVTI Engine Low Miles Complete Swap,$6300, (LA JDM Wilmington),Dec  8
1962 Chevy II GM shop manual,$30,NA,Dec  8
Vintage Chalk and Cork Board,$40, (Los Angeles),Dec  8
HJC Motorcycle Helmet IS-33 Fighter Jet Style Size Large,$50, (El Sereno),Dec  8
Oster Cordless Electric Corkscrew,$10, (South Pasadena),Dec  8
LG Q7+ Plus 64GB 5.5" Screen Unlocked,$150, (Hacienda Heights),Dec  8
Authentic New Louis Vuitton Damier Papillon 30 Hand Bag With Dust Bag,$750, (Montebello CA),Dec  8
Motor Manual Body/Parts Crash estimating guides 1968 to 1974,$10,NA,Dec  8
2013 NISSAN NV .. GRILL TRIM,$149, (south gate),Dec  8
USB Wireless Keyboard And Mouse,$10, (South Pasadena),Dec  8
1955 Chevy Chilton Handbook on Repairs,$12,NA,Dec  8
Homedic Deluxe Massaging Chair Back ~ Pain Relief Shiatsu Massage,$25, (El Sereno),Dec  8
1966 1967 Chevelle El Camino Chevy Door Sills parts,$1,NA,Dec  8
Iron Entry Console,$275, (Mar Vista),Dec  8
Gorgeous Carbon Fiber Road Bike Shimano Ultegra TRADE for Gravel Bike,$1499, (El Sereno),Dec  8
Hussmann 3 or 4 Door Self Contained Freezers Includes 1 Year Warranty,$2795, (Los Angeles),Dec  8
32" Tall Glass Flower Vases Eifel Tower Style,$11,NA,Dec  8
2017 Chevy Suburban radiator core support,$199, (south gate),Dec  8
IKEA Aluminum Lamp,$10, (Los Angeles),Dec  8
1980 Pontiac Phoenix X-car shop manual owners guide Skylark Citation,$25,NA,Dec  8
Vintage Cubby Hole Storage Wood drawers 23 inch Shelves stand hanging,$225, (LosFeliz Hollwyood SilverLake),Dec  8
Honda Prelude Megan Coilovers,$625, (90660),Dec  8
2017 CHEVY CAMARO  DECKLID TRUNK LID,$359, (south gate),Dec  8
Honda Prelude Megan Coilovers,$625, (90660),Dec  8
